long,lat,calle_nombre,calle_altura,modelo,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.449190056438596,-34.6599962639928,"ACOSTA, MARIANO",2956,MECÁNICA,Villa Soldati,Comuna 8,1437,C1437CDF
-58.4475001322389,-34.6612892365926,"ACOSTA, MARIANO",3064,MECÁNICA,Villa Soldati,Comuna 8,1437,C1437CDH
-58.4457247297393,-34.6630509421923,"ACOSTA, MARIANO",3265,MECÁNICA,Villa Soldati,Comuna 8,1437,C1437CDK
-58.442600934839895,-34.6654567050919,"ACOSTA, MARIANO",3555,MECÁNICA,Villa Soldati,Comuna 8,1437,C1437CEC
-58.4803136854325,-34.635528380797304,"ACOSTA, MARIANO AV.",154,MECÁNICA,Floresta,Comuna 10,1407,C1407KBD
-58.477045434233204,-34.638095073596894,"ACOSTA, MARIANO AV.",460,MECÁNICA,Floresta,Comuna 10,1407,C1407KBJ
-58.4742685609337,-34.6403087928964,"ACOSTA, MARIANO AV.",824,MECÁNICA,Parque Avellaneda,Comuna 9,1407,C1407KBR
-58.4691549884347,-34.6443511071957,"ACOSTA, MARIANO AV.",1270,MECÁNICA,Parque Avellaneda,Comuna 9,1407,C1407KBZ
-58.44005868153629,-34.6076146271976,ACOYTE,909,MECÁNICA,Caballito,Comuna 6,1405,C1405BGH
-58.4429569497356,-34.603208800198196,ACOYTE,1437,MECÁNICA,Villa Crespo,Comuna 15,1414,C1414BZG
-58.4370927547373,-34.6172786082964,ACOYTE AV.,90,MECÁNICA,Caballito,Comuna 6,1405,C1405BFN
-58.4377691372371,-34.6150524575967,ACOYTE AV.,264,MECÁNICA,Caballito,Comuna 6,1405,C1405BGN
-58.4381024665369,-34.6132709186969,ACOYTE AV.,461,MECÁNICA,Caballito,Comuna 6,1405,C1405BGC
-58.4397011967364,-34.6096185732974,ACOYTE AV.,755,MECÁNICA,Caballito,Comuna 6,1405,C1405BGF
-58.425140551739105,-34.619132000395496,AGRELO,4173,MECÁNICA,Almagro,Comuna 5,1224,C1224ABU
-58.5264539825259,-34.633006112200604,AGUARIBAY,6752,MECÁNICA,Versalles,Comuna 10,1408,C1408AOB
-58.431972089437,-34.6015128898977,AGUIRRE,17,MECÁNICA,Villa Crespo,Comuna 15,1414,C1414ASA
-58.4338873134365,-34.599464948698,AGUIRRE,291,MECÁNICA,Villa Crespo,Comuna 15,1414,C1414ASE
-58.4351280441363,-34.598139242698196,AGUIRRE,445,MECÁNICA,Villa Crespo,Comuna 15,1414,C1414ASI
-58.443644531634504,-34.5893377796997,AGUIRRE,1447,MECÁNICA,Chacarita,Comuna 15,1414,C1414ATC
