"Longitud","Latitud","Calle","Altura","Materiales","Barrio","Comuna","Calle2","Direccion","Tipo"
"-58.5264539825259","-34.6330061122006","AGUARIBAY",6752,"MECÁNICA","Versalles","Comuna 10","1408.0","C1408AOB","campanas_verdes"
"-58.431972089437","-34.6015128898977","AGUIRRE",17,"MECÁNICA","Villa Crespo","Comuna 15","1414.0","C1414ASA","campanas_verdes"
"-58.4338873134365","-34.599464948698","AGUIRRE",291,"MECÁNICA","Villa Crespo","Comuna 15","1414.0","C1414ASE","campanas_verdes"
"-58.4351280441363","-34.5981392426982","AGUIRRE",445,"MECÁNICA","Villa Crespo","Comuna 15","1414.0","C1414ASI","campanas_verdes"
"-58.4436445316345","-34.5893377796997","AGUIRRE",1447,"MECÁNICA","Chacarita","Comuna 15","1414.0","C1414ATC","campanas_verdes"
"-58.4451630877342","-34.5880323129999","AGUIRRE",1609,"MECÁNICA","Chacarita","Comuna 15","1414.0","C1414ATG","campanas_verdes"
"-58.4212161892413","-34.6434859323927","ALAGON",300,"MECÁNICA","Nueva Pompeya","Comuna 4","1437.0","C1437DIF","campanas_verdes"
"-58.5054782091249","-34.5749097735051","ALBARELLOS AV.",2455,"MECÁNICA","Villa Pueyrredon","Comuna 12","1419.0","C1419FSB","campanas_verdes"
"-58.5084347639246","-34.5766569075052","ALBARELLOS AV.",2769,"MECÁNICA","Villa Pueyrredon","Comuna 12","1419.0","C1419FSE","campanas_verdes"
"-58.5095734815244","-34.5773315966051","ALBARELLOS AV.",2853,"MECÁNICA","Villa Pueyrredon","Comuna 12","1419.0","C1419FSF","campanas_verdes"
"-58.5125322003242","-34.5790839699052","ALBARELLOS AV.",3155,"MECÁNICA","Villa Pueyrredon","Comuna 12","1419.0","C1419FSI","campanas_verdes"
"-58.5090658920289","-34.6406256301986","ALBARIÑO",213,"MECÁNICA","Villa Luro","Comuna 10","1408.0","C1408HOE","campanas_verdes"
"-58.5050962070296","-34.6436888414981","ALBARIÑO",559,"MECÁNICA","Liniers","Comuna 9","1408.0","C1408HOK","campanas_verdes"
