punto;comuna;año;mes;pesaje_avu_litros;long;lat
Plaza Sudamerica;Comuna 4;2017;Septiembre;91.7;-58.39473950000001;-34.652745700000004
Plaza Arenales;Comuna 11;2017;Septiembre;78;-58.5122799;-34.5993652
Parque Chacabuco;Comuna 7;2017;Septiembre;52;-58.43288159999999;-34.6340618
Parque Los Andes;Comuna 15;2017;Septiembre;10.1;-58.450456300000006;-34.5898603
Plaza Boedo;Comuna 5;2017;Septiembre;53.8;-58.41283499999999;-34.622518
Plaza M. Andrea;Comuna 2;2017;Septiembre;43.8;-58.40720749999999;-34.5974235
Plaza 1ro de mayo;Comuna 3;2017;Septiembre;0;-58.3981627;-34.611239399999995
Parque Saavedra;Comuna 12;2017;Septiembre;27.9;-58.47981559999999;-34.550819
Plaza Colombia;Comuna 4;2017;Septiembre;78.4;-58.374206900000004;-34.637393700000004
Plaza Don Bosco;Comuna 10;2017;Septiembre;0;-58.50841080000001;-34.6260491
Parque Santojanni;Comuna 9;2017;Septiembre;0;-58.51330829999999;-34.6463729
Plaza San Marrin;Comuna 1;2017;Septiembre;0;-58.37700689999999;-34.5942846
Plaza E. Mitre;Comuna 2;2017;Septiembre;61.9;-58.39723710000001;-34.5881755
Plaza Almagro;Comuna 5;2017;Septiembre;59.1;-58.4193674;-34.605718200000005
Plaza Pueyrredon;Comuna 7;2017;Septiembre;0;-58.46353149999999;-34.6285889
Plaza Alem;Comuna 12;2017;Septiembre;41.2;-58.37072120000001;-34.6003162
Plaza Balcarce;Comuna 13;2017;Septiembre;41.5;-58.4685048;-34.547445
Palermo Viejo - Armenia;Comuna 14;2017;Septiembre;67;-58.425260200000004;-34.5887745
Rivadavia;Comuna 6;2017;Septiembre;21.9;-58.4506646;-34.6243051
Avellaneda;Comuna 9;2017;Septiembre;0;-58.3669739;-34.6610756
Velez Sarfield;Comuna 10;2017;Septiembre;0;-58.49234930000001;-34.6314852
Ibarra;Comuna 3;2017;Septiembre;0;-58.403515799999994;-34.617202
Puerto madero;Comuna 1;2017;Septiembre;18.3;-58.3620561;-34.6177194
Parque patricios;Comuna 4;2017;Septiembre;0;-58.4005296;-34.6362534
Plaza Rosario Vera Peñaloza;Comuna 1;2017;Septiembre;20.3;-58.3757713;-34.6221636
Plaza Vea;Comuna 4;2017;Septiembre;2;-58.3777027;-34.638518
25 de Agosto;Comuna 15;2017;Septiembre;54.4;-58.46258049999999;-34.5801724
Plaza Aristobulo del Valle;Comuna 11;2017;Septiembre;0;-58.492932700000004;-34.6055659
Plaza Echeverria;Comuna 13;2017;Septiembre;43.2;-58.46350820000001;-34.5675144
Plaza Roque Saez Peña;Comuna 11;2017;Septiembre;0;-58.46735409999999;-34.6103114
Plaza Ciudad de Banff;Comuna 10;2017;Septiembre;45.2;-58.52120040000001;-34.6285343
Plaza E. de los Andes;Comuna 10;2017;Septiembre;0;-58.5093299;-34.6396627
Plaza Irlanda;Comuna 6;2017;Septiembre;48.3;-58.45901240000001;-34.6140108
Plaza de los periodistas;Comuna 7;2017;Septiembre;0;-58.47299399999999;-34.621383
Portal Villa 20;Comuna 8;2017;Septiembre;153.5;-58.46145689999999;-34.6717503
Plaza Martin Fierro;Comuna 3;2017;Septiembre;0;-58.4077429;-34.6259153
Plaza Benito Nazar;Comuna 15;2017;Septiembre;0;-58.445436;-34.60479
Carrefour Boedo;Comuna 5;2017;Septiembre;78.2;-58.420189199999996;-34.630990000000004
Carrefour Urquiza;Comuna 12;2017;Septiembre;78.1;-58.494533;-34.5770799
PVMs;Comuna 1;2017;Septiembre;145.7;-58.381559100000004;-34.6036844
APrA Lima 1111;Comuna 1;2017;Septiembre;0;-58.38162259999999;-34.6210274
AySA;Comuna 14;2017;Septiembre;12.3;-58.427240299999994;-34.556269799999995
Plaza Güemes;Comuna 14;2017;Octubre;38.3;-58.4174406;-34.586063
Parque Centenario;Comuna 6;2017;Octubre;115.6;-58.43495559999999;-34.606830200000005
Plaza Sudamerica;Comuna 4;2017;Octubre;10.1;-58.39473950000001;-34.652745700000004
Plaza Arenales;Comuna 11;2017;Octubre;107.7;-58.5122799;-34.5993652
Parque Chacabuco;Comuna 7;2017;Octubre;22.1;-58.43288159999999;-34.6340618
Parque Los Andes;Comuna 15;2017;Octubre;43.1;-58.450456300000006;-34.5898603
Plaza Boedo;Comuna 5;2017;Octubre;63.8;-58.41283499999999;-34.622518
Plaza M. Andrea;Comuna 2;2017;Octubre;27.1;-58.40720749999999;-34.5974235
Plaza 1ro de mayo;Comuna 3;2017;Octubre;20;-58.3981627;-34.611239399999995
Parque Saavedra;Comuna 12;2017;Octubre;52.2;-58.47981559999999;-34.550819
Plaza Colombia;Comuna 4;2017;Octubre;119.4;-58.374206900000004;-34.637393700000004
Plaza Don Bosco;Comuna 10;2017;Octubre;80.2;-58.50841080000001;-34.6260491
Parque Santojanni;Comuna 9;2017;Octubre;0;-58.51330829999999;-34.6463729
Plaza San Marrin;Comuna 1;2017;Octubre;0;-58.37700689999999;-34.5942846
Plaza E. Mitre;Comuna 2;2017;Octubre;30;-58.39723710000001;-34.5881755
Plaza Almagro;Comuna 5;2017;Octubre;54.9;-58.4193674;-34.605718200000005
Plaza Pueyrredon;Comuna 7;2017;Octubre;48.9;-58.46353149999999;-34.6285889
Plaza Alem;Comuna 12;2017;Octubre;48.3;-58.37072120000001;-34.6003162
Plaza Balcarce;Comuna 13;2017;Octubre;102.7;-58.4685048;-34.547445
Palermo Viejo - Armenia;Comuna 14;2017;Octubre;40;-58.425260200000004;-34.5887745
Rivadavia;Comuna 6;2017;Octubre;38.1;-58.4506646;-34.6243051
Avellaneda;Comuna 9;2017;Octubre;43.9;-58.3669739;-34.6610756
Velez Sarfield;Comuna 10;2017;Octubre;43.8;-58.49234930000001;-34.6314852
Ibarra;Comuna 3;2017;Octubre;31.9;-58.403515799999994;-34.617202
Puerto madero;Comuna 1;2017;Octubre;0;-58.3620561;-34.6177194
Parque patricios;Comuna 4;2017;Octubre;38.2;-58.4005296;-34.6362534
Plaza Rosario Vera Peñaloza;Comuna 1;2017;Octubre;45.3;-58.3757713;-34.6221636
Plaza Vea;Comuna 4;2017;Octubre;0;-58.3777027;-34.638518
25 de Agosto;Comuna 15;2017;Octubre;0;-58.46258049999999;-34.5801724
Plaza Aristobulo del Valle;Comuna 11;2017;Octubre;41.5;-58.492932700000004;-34.6055659
Plaza Echeverria;Comuna 13;2017;Octubre;10;-58.46350820000001;-34.5675144
Plaza Roque Saez Peña;Comuna 11;2017;Octubre;0;-58.46735409999999;-34.6103114
Plaza Ciudad de Banff;Comuna 10;2017;Octubre;33.3;-58.52120040000001;-34.6285343
Plaza E. de los Andes;Comuna 10;2017;Octubre;0;-58.5093299;-34.6396627
Plaza Irlanda;Comuna 6;2017;Octubre;0;-58.45901240000001;-34.6140108
Plaza de los periodistas;Comuna 7;2017;Octubre;0;-58.47299399999999;-34.621383
Portal Villa 20;Comuna 8;2017;Octubre;148.7;-58.46145689999999;-34.6717503
Plaza Martin Fierro;Comuna 3;2017;Octubre;0;-58.4077429;-34.6259153
Plaza Benito Nazar;Comuna 15;2017;Octubre;0;-58.445436;-34.60479
Carrefour Boedo;Comuna 5;2017;Octubre;40.6;-58.420189199999996;-34.630990000000004
Carrefour Urquiza;Comuna 12;2017;Octubre;85;-58.494533;-34.5770799
PVMs;Comuna 1;2017;Octubre;0;-58.381559100000004;-34.6036844
APrA Lima 1111;Comuna 1;2017;Octubre;32.5;-58.38162259999999;-34.6210274
AySA;Comuna 14;2017;Octubre;0;-58.427240299999994;-34.556269799999995
APrA CIFA;Comuna 8;2017;Octubre;1.1;-58.46678000000001;-34.6643133
Plaza Angel Gris;Comuna 7;2017;Octubre;22.5;-58.45666680000001;-34.621976000000004
Polo circo;Comuna 4;2017;Octubre;1.1;-58.39267699999999;-34.627893
Plaza Belgrano;Comuna 13;2017;Octubre;63.1;-58.454835100000004;-34.56170609999999
Plaza Zapiola;Comuna 12;2017;Octubre;0;-58.475251;-34.573592
Plaza Castelli;Comuna 13;2017;Octubre;0;-58.4645953;-34.567494399999994
Plaza Petronilla Rodriguez;Comuna 2;2017;Octubre;0;-58.3913904;-34.5988073
Plaza Republica de Perú;Comuna 14;2017;Octubre;0;-58.4041672;-34.5765724
FADU/Ciudad universitaria;Comuna 13;2017;Octubre;0;-58.4444116;-34.542131299999994
1.11.14;Comuna 7;2017;Octubre;0;-58.440866899999996;-34.6504076
Plaza El Maestro;Comuna 11;2017;Octubre;0;-58.522521499999996;-34.612714399999994
Plaza nobel;Comuna 15;2017;Octubre;0;-58.48462249999999;-34.588083000000005
Parque Alberdi;Comuna 9;2017;Octubre;0;-58.5023405;-34.6606883
Plaza Güemes;Comuna 14;2017;Noviembre;65.295;-58.4174406;-34.586063
Parque Centenario;Comuna 6;2017;Noviembre;201.591;-58.43495559999999;-34.606830200000005
Plaza Sudamerica;Comuna 4;2017;Noviembre;25.5;-58.39473950000001;-34.652745700000004
Plaza Arenales;Comuna 11;2017;Noviembre;215.4;-58.5122799;-34.5993652
Parque Chacabuco;Comuna 7;2017;Noviembre;87.6;-58.43288159999999;-34.6340618
Parque Los Andes;Comuna 15;2017;Noviembre;0;-58.450456300000006;-34.5898603
Plaza Boedo;Comuna 5;2017;Noviembre;79.2;-58.41283499999999;-34.622518
Plaza M. Andrea;Comuna 2;2017;Noviembre;67.1;-58.40720749999999;-34.5974235
Plaza 1ro de mayo;Comuna 3;2017;Noviembre;68.8;-58.3981627;-34.611239399999995
Parque Saavedra;Comuna 12;2017;Noviembre;46.5;-58.47981559999999;-34.550819
Plaza Colombia;Comuna 4;2017;Noviembre;47.1;-58.374206900000004;-34.637393700000004
Plaza Don Bosco;Comuna 10;2017;Noviembre;89.1;-58.50841080000001;-34.6260491
Parque Santojanni;Comuna 9;2017;Noviembre;0;-58.51330829999999;-34.6463729
Plaza San Marrin;Comuna 1;2017;Noviembre;0;-58.37700689999999;-34.5942846
Plaza E. Mitre;Comuna 2;2017;Noviembre;0;-58.39723710000001;-34.5881755
Plaza Almagro;Comuna 5;2017;Noviembre;48;-58.4193674;-34.605718200000005
Plaza Pueyrredon;Comuna 7;2017;Noviembre;52.8;-58.46353149999999;-34.6285889
Plaza Alem;Comuna 12;2017;Noviembre;58;-58.37072120000001;-34.6003162
Plaza Balcarce;Comuna 13;2017;Noviembre;63.3;-58.4685048;-34.547445
Palermo Viejo - Armenia;Comuna 14;2017;Noviembre;60.9;-58.425260200000004;-34.5887745
Rivadavia;Comuna 6;2017;Noviembre;0;-58.4506646;-34.6243051
Avellaneda;Comuna 9;2017;Noviembre;57.9;-58.3669739;-34.6610756
Velez Sarfield;Comuna 10;2017;Noviembre;53;-58.49234930000001;-34.6314852
Ibarra;Comuna 3;2017;Noviembre;15.1;-58.403515799999994;-34.617202
Puerto madero;Comuna 1;2017;Noviembre;5.3;-58.3620561;-34.6177194
Parque patricios;Comuna 4;2017;Noviembre;0;-58.4005296;-34.6362534
Plaza Rosario Vera Peñaloza;Comuna 1;2017;Noviembre;19.3;-58.3757713;-34.6221636
Plaza Vea;Comuna 4;2017;Noviembre;3.1;-58.3777027;-34.638518
25 de Agosto;Comuna 15;2017;Noviembre;55.4;-58.46258049999999;-34.5801724
Plaza Aristobulo del Valle;Comuna 11;2017;Noviembre;0;-58.492932700000004;-34.6055659
Plaza Echeverria;Comuna 13;2017;Noviembre;83.9;-58.46350820000001;-34.5675144
Plaza Roque Saez Peña;Comuna 11;2017;Noviembre;49.7;-58.46735409999999;-34.6103114
Plaza Ciudad de Banff;Comuna 10;2017;Noviembre;0;-58.52120040000001;-34.6285343
Plaza E. de los Andes;Comuna 10;2017;Noviembre;0;-58.5093299;-34.6396627
Plaza Irlanda;Comuna 6;2017;Noviembre;0;-58.45901240000001;-34.6140108
Plaza de los periodistas;Comuna 7;2017;Noviembre;12.7;-58.47299399999999;-34.621383
Portal Villa 20;Comuna 8;2017;Noviembre;318.295;-58.46145689999999;-34.6717503
Plaza Martin Fierro;Comuna 3;2017;Noviembre;12.207;-58.4077429;-34.6259153
Plaza Benito Nazar;Comuna 15;2017;Noviembre;0;-58.445436;-34.60479
Carrefour Boedo;Comuna 5;2017;Noviembre;89;-58.420189199999996;-34.630990000000004
Carrefour Urquiza;Comuna 12;2017;Noviembre;132.705;-58.494533;-34.5770799
PVMs;Comuna 1;2017;Noviembre;77;-58.381559100000004;-34.6036844
APrA Lima 1111;Comuna 1;2017;Noviembre;27.898;-58.38162259999999;-34.6210274
AySA;Comuna 14;2017;Noviembre;0;-58.427240299999994;-34.556269799999995
APrA CIFA;Comuna 8;2017;Noviembre;2.5;-58.46678000000001;-34.6643133
Plaza Angel Gris;Comuna 7;2017;Noviembre;25;-58.45666680000001;-34.621976000000004
Polo circo;Comuna 4;2017;Noviembre;0;-58.39267699999999;-34.627893
Plaza Belgrano;Comuna 13;2017;Noviembre;15;-58.454835100000004;-34.56170609999999
Plaza Zapiola;Comuna 12;2017;Noviembre;24.3;-58.475251;-34.573592
Plaza Castelli;Comuna 13;2017;Noviembre;18.4;-58.4645953;-34.567494399999994
Plaza Petronilla Rodriguez;Comuna 2;2017;Noviembre;1.5;-58.3913904;-34.5988073
Plaza Republica de Perú;Comuna 14;2017;Noviembre;27.3;-58.4041672;-34.5765724
FADU/Ciudad universitaria;Comuna 13;2017;Noviembre;1.3;-58.4444116;-34.542131299999994
1.11.14;Comuna 7;2017;Noviembre;45.341;-58.440866899999996;-34.6504076
Plaza El Maestro;Comuna 11;2017;Noviembre;38.3;-58.522521499999996;-34.612714399999994
Plaza nobel;Comuna 15;2017;Noviembre;12.4;-58.48462249999999;-34.588083000000005
PlazaMalaver;Comuna 15;2017;Noviembre;3.8;-58.46737330000001;-34.587841600000004
Plaza Mafalda;Comuna 13;2017;Noviembre;10;-58.44561150000001;-34.5806439
Portal villa 31;Comuna 1;2017;Noviembre;77.273;-58.3747654;-34.5835993
Plaza nueva pompeya;Comuna 4;2017;Noviembre;0;-58.41578369999999;-34.6519634
Plaza martin rodriguez;Comuna 12;2017;Noviembre;0;-58.5012176;-34.59093920000001
Parque Alberdi;Comuna 9;2017;Noviembre;0;-58.5023405;-34.6606883
Plaza Güemes;Comuna 14;2017;Diciembre;90.295;-58.4174406;-34.586063
Parque Centenario;Comuna 6;2017;Diciembre;101.1;-58.43495559999999;-34.606830200000005
Plaza Sudamerica;Comuna 4;2017;Diciembre;12.1;-58.39473950000001;-34.652745700000004
Plaza Arenales;Comuna 11;2017;Diciembre;166.9;-58.5122799;-34.5993652
Parque Chacabuco;Comuna 7;2017;Diciembre;34.1;-58.43288159999999;-34.6340618
Parque Los Andes;Comuna 15;2017;Diciembre;0;-58.450456300000006;-34.5898603
Plaza Boedo;Comuna 5;2017;Diciembre;148.2;-58.41283499999999;-34.622518
Plaza M. Andrea;Comuna 2;2017;Diciembre;67.8;-58.40720749999999;-34.5974235
Plaza 1ro de mayo;Comuna 3;2017;Diciembre;44.5;-58.3981627;-34.611239399999995
Parque Saavedra;Comuna 12;2017;Diciembre;70.9;-58.47981559999999;-34.550819
Plaza Colombia;Comuna 4;2017;Diciembre;78;-58.374206900000004;-34.637393700000004
Plaza Don Bosco;Comuna 10;2017;Diciembre;0;-58.50841080000001;-34.6260491
Parque Santojanni;Comuna 9;2017;Diciembre;0;-58.51330829999999;-34.6463729
Plaza San Marrin;Comuna 1;2017;Diciembre;0;-58.37700689999999;-34.5942846
Plaza E. Mitre;Comuna 2;2017;Diciembre;0;-58.39723710000001;-34.5881755
Plaza Almagro;Comuna 5;2017;Diciembre;45.2;-58.4193674;-34.605718200000005
Plaza Pueyrredon;Comuna 7;2017;Diciembre;0;-58.46353149999999;-34.6285889
Plaza Alem;Comuna 12;2017;Diciembre;157.8;-58.37072120000001;-34.6003162
Plaza Balcarce;Comuna 13;2017;Diciembre;85;-58.4685048;-34.547445
Palermo Viejo - Armenia;Comuna 14;2017;Diciembre;41.2;-58.425260200000004;-34.5887745
Rivadavia;Comuna 6;2017;Diciembre;57.1;-58.4506646;-34.6243051
Avellaneda;Comuna 9;2017;Diciembre;0;-58.3669739;-34.6610756
Velez Sarfield;Comuna 10;2017;Diciembre;13.2;-58.49234930000001;-34.6314852
Ibarra;Comuna 3;2017;Diciembre;18.5;-58.403515799999994;-34.617202
Puerto madero;Comuna 1;2017;Diciembre;0;-58.3620561;-34.6177194
Parque patricios;Comuna 4;2017;Diciembre;25.3;-58.4005296;-34.6362534
Plaza Rosario Vera Peñaloza;Comuna 1;2017;Diciembre;55.2;-58.3757713;-34.6221636
Plaza Vea;Comuna 4;2017;Diciembre;0;-58.3777027;-34.638518
25 de Agosto;Comuna 15;2017;Diciembre;77.4;-58.46258049999999;-34.5801724
Plaza Aristobulo del Valle;Comuna 11;2017;Diciembre;65.5;-58.492932700000004;-34.6055659
Plaza Echeverria;Comuna 13;2017;Diciembre;28.5;-58.46350820000001;-34.5675144
Plaza Roque Saez Peña;Comuna 11;2017;Diciembre;5.3;-58.46735409999999;-34.6103114
Plaza Ciudad de Banff;Comuna 10;2017;Diciembre;21.2;-58.52120040000001;-34.6285343
Plaza E. de los Andes;Comuna 10;2017;Diciembre;33.2;-58.5093299;-34.6396627
Plaza Irlanda;Comuna 6;2017;Diciembre;43.1;-58.45901240000001;-34.6140108
Plaza de los periodistas;Comuna 7;2017;Diciembre;0;-58.47299399999999;-34.621383
Portal Villa 20;Comuna 8;2017;Diciembre;160.705;-58.46145689999999;-34.6717503
Plaza Martin Fierro;Comuna 3;2017;Diciembre;0;-58.4077429;-34.6259153
Plaza Benito Nazar;Comuna 15;2017;Diciembre;8.3;-58.445436;-34.60479
Carrefour Boedo;Comuna 5;2017;Diciembre;118.602;-58.420189199999996;-34.630990000000004
Carrefour Urquiza;Comuna 12;2017;Diciembre;116.205;-58.494533;-34.5770799
PVMs;Comuna 1;2017;Diciembre;0;-58.381559100000004;-34.6036844
APrA Lima 1111;Comuna 1;2017;Diciembre;21.295;-58.38162259999999;-34.6210274
AySA;Comuna 14;2017;Diciembre;7.5;-58.427240299999994;-34.556269799999995
APrA CIFA;Comuna 8;2017;Diciembre;8.205;-58.46678000000001;-34.6643133
Plaza Angel Gris;Comuna 7;2017;Diciembre;19.5;-58.45666680000001;-34.621976000000004
Polo circo;Comuna 4;2017;Diciembre;53.9;-58.39267699999999;-34.627893
Plaza Belgrano;Comuna 13;2017;Diciembre;40.1;-58.454835100000004;-34.56170609999999
Plaza Zapiola;Comuna 12;2017;Diciembre;19.1;-58.475251;-34.573592
Plaza Castelli;Comuna 13;2017;Diciembre;18.8;-58.4645953;-34.567494399999994
Plaza Petronilla Rodriguez;Comuna 2;2017;Diciembre;19;-58.3913904;-34.5988073
Plaza Republica de Perú;Comuna 14;2017;Diciembre;31.5;-58.4041672;-34.5765724
FADU/Ciudad universitaria;Comuna 13;2017;Diciembre;0;-58.4444116;-34.542131299999994
1.11.14;Comuna 7;2017;Diciembre;0;-58.440866899999996;-34.6504076
Plaza El Maestro;Comuna 11;2017;Diciembre;0;-58.522521499999996;-34.612714399999994
Plaza nobel;Comuna 15;2017;Diciembre;0;-58.48462249999999;-34.588083000000005
PlazaMalaver;Comuna 15;2017;Diciembre;4.5;-58.46737330000001;-34.587841600000004
Plaza Mafalda;Comuna 13;2017;Diciembre;38.2;-58.44561150000001;-34.5806439
Portal villa 31;Comuna 1;2017;Diciembre;0;-58.3747654;-34.5835993
Plaza nueva pompeya;Comuna 4;2017;Diciembre;48.9;-58.41578369999999;-34.6519634
Plaza martin rodriguez;Comuna 12;2017;Diciembre;22.3;-58.5012176;-34.59093920000001
Parque Alberdi;Comuna 9;2017;Diciembre;58.3;-58.5023405;-34.6606883
Portal Varela;Comuna 7;2017;Diciembre;54.205;-58.4469004;-34.64895739999999
Plaza Güemes;Comuna 14;2018;Enero;103.7;-58.4174406;-34.586063
Parque Centenario;Comuna 6;2018;Enero;66.1;-58.43495559999999;-34.606830200000005
Plaza Sudamerica;Comuna 4;2018;Enero;0;-58.39473950000001;-34.652745700000004
Plaza Arenales;Comuna 11;2018;Enero;180.6;-58.5122799;-34.5993652
Parque Chacabuco;Comuna 7;2018;Enero;0;-58.43288159999999;-34.6340618
Parque Los Andes;Comuna 15;2018;Enero;38.3;-58.450456300000006;-34.5898603
Plaza Boedo;Comuna 5;2018;Enero;0;-58.41283499999999;-34.622518
Plaza M. Andrea;Comuna 2;2018;Enero;20.8;-58.40720749999999;-34.5974235
Plaza 1ro de mayo;Comuna 3;2018;Enero;22.5;-58.3981627;-34.611239399999995
Parque Saavedra;Comuna 12;2018;Enero;61;-58.47981559999999;-34.550819
Plaza Colombia;Comuna 4;2018;Enero;63.2;-58.374206900000004;-34.637393700000004
Plaza Don Bosco;Comuna 10;2018;Enero;0;-58.50841080000001;-34.6260491
Parque Santojanni;Comuna 9;2018;Enero;0;-58.51330829999999;-34.6463729
Plaza San Marrin;Comuna 1;2018;Enero;0;-58.37700689999999;-34.5942846
Plaza E. Mitre;Comuna 2;2018;Enero;30.5;-58.39723710000001;-34.5881755
Plaza Almagro;Comuna 5;2018;Enero;0;-58.4193674;-34.605718200000005
Plaza Pueyrredon;Comuna 7;2018;Enero;37.5;-58.46353149999999;-34.6285889
Plaza Alem;Comuna 12;2018;Enero;54.8;-58.37072120000001;-34.6003162
Plaza Balcarce;Comuna 13;2018;Enero;57;-58.4685048;-34.547445
Palermo Viejo - Armenia;Comuna 14;2018;Enero;87.8;-58.425260200000004;-34.5887745
Rivadavia;Comuna 6;2018;Enero;35.8;-58.4506646;-34.6243051
Avellaneda;Comuna 9;2018;Enero;54.5;-58.3669739;-34.6610756
Velez Sarfield;Comuna 10;2018;Enero;40.1;-58.49234930000001;-34.6314852
Ibarra;Comuna 3;2018;Enero;3.7;-58.403515799999994;-34.617202
Puerto madero;Comuna 1;2018;Enero;11.5;-58.3620561;-34.6177194
Parque patricios;Comuna 4;2018;Enero;0;-58.4005296;-34.6362534
Plaza Rosario Vera Peñaloza;Comuna 1;2018;Enero;15.9;-58.3757713;-34.6221636
Plaza Vea;Comuna 4;2018;Enero;6.5;-58.3777027;-34.638518
25 de Agosto;Comuna 15;2018;Enero;12.3;-58.46258049999999;-34.5801724
Plaza Aristobulo del Valle;Comuna 11;2018;Enero;25.5;-58.492932700000004;-34.6055659
Plaza Echeverria;Comuna 13;2018;Enero;33.9;-58.46350820000001;-34.5675144
Plaza Roque Saez Peña;Comuna 11;2018;Enero;0;-58.46735409999999;-34.6103114
Plaza Ciudad de Banff;Comuna 10;2018;Enero;0;-58.52120040000001;-34.6285343
Plaza E. de los Andes;Comuna 10;2018;Enero;78.2;-58.5093299;-34.6396627
Plaza Irlanda;Comuna 6;2018;Enero;58.3;-58.45901240000001;-34.6140108
Plaza de los periodistas;Comuna 7;2018;Enero;20.9;-58.47299399999999;-34.621383
Portal Villa 20;Comuna 8;2018;Enero;126.102;-58.46145689999999;-34.6717503
Plaza Martin Fierro;Comuna 3;2018;Enero;18.8;-58.4077429;-34.6259153
Plaza Benito Nazar;Comuna 15;2018;Enero;38.4;-58.445436;-34.60479
Carrefour Boedo;Comuna 5;2018;Enero;78.602;-58.420189199999996;-34.630990000000004
Carrefour Urquiza;Comuna 12;2018;Enero;89.795;-58.494533;-34.5770799
PVMs;Comuna 1;2018;Enero;0;-58.381559100000004;-34.6036844
APrA Lima 1111;Comuna 1;2018;Enero;30.898;-58.38162259999999;-34.6210274
AySA;Comuna 14;2018;Enero;0;-58.427240299999994;-34.556269799999995
APrA CIFA;Comuna 8;2018;Enero;0;-58.46678000000001;-34.6643133
Plaza Angel Gris;Comuna 7;2018;Enero;0;-58.45666680000001;-34.621976000000004
Polo circo;Comuna 4;2018;Enero;0;-58.39267699999999;-34.627893
Plaza Belgrano;Comuna 13;2018;Enero;35.795;-58.454835100000004;-34.56170609999999
Plaza Zapiola;Comuna 12;2018;Enero;0;-58.475251;-34.573592
Plaza Castelli;Comuna 13;2018;Enero;38.068;-58.4645953;-34.567494399999994
Plaza Petronilla Rodriguez;Comuna 2;2018;Enero;25.682;-58.3913904;-34.5988073
Plaza Republica de Perú;Comuna 14;2018;Enero;0;-58.4041672;-34.5765724
FADU/Ciudad universitaria;Comuna 13;2018;Enero;0;-58.4444116;-34.542131299999994
1.11.14;Comuna 7;2018;Enero;0;-58.440866899999996;-34.6504076
Plaza El Maestro;Comuna 11;2018;Enero;0;-58.522521499999996;-34.612714399999994
Plaza nobel;Comuna 15;2018;Enero;21.705;-58.48462249999999;-34.588083000000005
PlazaMalaver;Comuna 15;2018;Enero;0;-58.46737330000001;-34.587841600000004
Plaza Mafalda;Comuna 13;2018;Enero;0;-58.44561150000001;-34.5806439
Portal villa 31;Comuna 1;2018;Enero;0;-58.3747654;-34.5835993
Plaza nueva pompeya;Comuna 4;2018;Enero;0;-58.41578369999999;-34.6519634
Plaza martin rodriguez;Comuna 12;2018;Enero;0;-58.5012176;-34.59093920000001
Parque Alberdi;Comuna 9;2018;Enero;0;-58.5023405;-34.6606883
Portal Varela;Comuna 7;2018;Enero;133.75;-58.4469004;-34.64895739999999
AySA Tucumán;Comuna 1;2018;Enero;11.136;-58.37749640000001;-34.6012104
Comedores Sociales;Comuna 8;2018;Enero;22.841;-58.46733670000001;-34.6757847
Portal Soldati;Comuna 8;2018;Enero;0;-58.4558059;-34.6643982
Plaza Güemes;Comuna 14;2018;Febrero;141.2;-58.4174406;-34.586063
Parque Centenario;Comuna 6;2018;Febrero;75.3;-58.43495559999999;-34.606830200000005
Plaza Sudamerica;Comuna 4;2018;Febrero;10.9;-58.39473950000001;-34.652745700000004
Plaza Arenales;Comuna 11;2018;Febrero;81.6;-58.5122799;-34.5993652
Parque Chacabuco;Comuna 7;2018;Febrero;53.5;-58.43288159999999;-34.6340618
Parque Los Andes;Comuna 15;2018;Febrero;22.5;-58.450456300000006;-34.5898603
Plaza Boedo;Comuna 5;2018;Febrero;51.3;-58.41283499999999;-34.622518
Plaza M. Andrea;Comuna 2;2018;Febrero;0;-58.40720749999999;-34.5974235
Plaza 1ro de mayo;Comuna 3;2018;Febrero;0;-58.3981627;-34.611239399999995
Parque Saavedra;Comuna 12;2018;Febrero;45.3;-58.47981559999999;-34.550819
Plaza Colombia;Comuna 4;2018;Febrero;45.9;-58.374206900000004;-34.637393700000004
Plaza Don Bosco;Comuna 10;2018;Febrero;0;-58.50841080000001;-34.6260491
Parque Santojanni;Comuna 9;2018;Febrero;17.9;-58.51330829999999;-34.6463729
Plaza San Marrin;Comuna 1;2018;Febrero;0;-58.37700689999999;-34.5942846
Plaza E. Mitre;Comuna 2;2018;Febrero;0;-58.39723710000001;-34.5881755
Plaza Almagro;Comuna 5;2018;Febrero;60.3;-58.4193674;-34.605718200000005
Plaza Pueyrredon;Comuna 7;2018;Febrero;0;-58.46353149999999;-34.6285889
Plaza Alem;Comuna 12;2018;Febrero;49.5;-58.37072120000001;-34.6003162
Plaza Balcarce;Comuna 13;2018;Febrero;94.1;-58.4685048;-34.547445
Palermo Viejo - Armenia;Comuna 14;2018;Febrero;43.6;-58.425260200000004;-34.5887745
Rivadavia;Comuna 6;2018;Febrero;35;-58.4506646;-34.6243051
Avellaneda;Comuna 9;2018;Febrero;38.3;-58.3669739;-34.6610756
Velez Sarfield;Comuna 10;2018;Febrero;18.3;-58.49234930000001;-34.6314852
Ibarra;Comuna 3;2018;Febrero;0;-58.403515799999994;-34.617202
Puerto madero;Comuna 1;2018;Febrero;0;-58.3620561;-34.6177194
Parque patricios;Comuna 4;2018;Febrero;35.9;-58.4005296;-34.6362534
Plaza Rosario Vera Peñaloza;Comuna 1;2018;Febrero;43.8;-58.3757713;-34.6221636
Plaza Vea;Comuna 4;2018;Febrero;0;-58.3777027;-34.638518
