punto;comuna;año;mes;pesaje_avu_litros;long;lat
Plaza Almagro;Comuna 5;2017;Febrero;30.5;-58.4193674;-34.605718200000005
Plaza Pueyrredon;Comuna 7;2017;Febrero;8.95;-58.46353149999999;-34.6285889
Plaza Alem;Comuna 12;2017;Febrero;30.6;-58.37072120000001;-34.6003162
Plaza Balcarce;Comuna 13;2017;Febrero;22.9;-58.4685048;-34.547445
Palermo Viejo - Armenia;Comuna 14;2017;Febrero;5.5;-58.425260200000004;-34.5887745
Rivadavia;Comuna 6;2017;Febrero;22.1;-58.4506646;-34.6243051
Avellaneda;Comuna 9;2017;Febrero;6.2;-58.3669739;-34.6610756
Velez Sarfield;Comuna 10;2017;Febrero;5;-58.49234930000001;-34.6314852
Ibarra;Comuna 3;2017;Febrero;1.8;-58.403515799999994;-34.617202
Puerto madero;Comuna 1;2017;Febrero;1.5;-58.3620561;-34.6177194
Parque patricios;Comuna 4;2017;Febrero;1.8;-58.4005296;-34.6362534
Plaza Güemes;Comuna 14;2017;Marzo;62.7;-58.4174406;-34.586063
Parque Centenario;Comuna 6;2017;Marzo;145.1;-58.43495559999999;-34.606830200000005
Plaza Sudamerica;Comuna 4;2017;Marzo;22.5;-58.39473950000001;-34.652745700000004
Plaza Arenales;Comuna 11;2017;Marzo;181.2;-58.5122799;-34.5993652
Parque Chacabuco;Comuna 7;2017;Marzo;1.5;-58.43288159999999;-34.6340618
Parque Los Andes;Comuna 15;2017;Marzo;21.3;-58.450456300000006;-34.5898603
Plaza Boedo;Comuna 5;2017;Marzo;30.5;-58.41283499999999;-34.622518
Plaza M. Andrea;Comuna 2;2017;Marzo;26.8;-58.40720749999999;-34.5974235
Plaza 1ro de mayo;Comuna 3;2017;Marzo;0;-58.3981627;-34.611239399999995
Parque Saavedra;Comuna 12;2017;Marzo;32.1;-58.47981559999999;-34.550819
Plaza Colombia;Comuna 4;2017;Marzo;82.3;-58.374206900000004;-34.637393700000004
Plaza Don Bosco;Comuna 10;2017;Marzo;18.1;-58.50841080000001;-34.6260491
Parque Santojanni;Comuna 9;2017;Marzo;3.8;-58.51330829999999;-34.6463729
Plaza San Marrin;Comuna 1;2017;Marzo;2.1;-58.37700689999999;-34.5942846
Plaza E. Mitre;Comuna 2;2017;Marzo;16.4;-58.39723710000001;-34.5881755
Plaza Almagro;Comuna 5;2017;Marzo;19.3;-58.4193674;-34.605718200000005
Plaza Pueyrredon;Comuna 7;2017;Marzo;24.7;-58.46353149999999;-34.6285889
Plaza Alem;Comuna 12;2017;Marzo;79.7;-58.37072120000001;-34.6003162
Plaza Balcarce;Comuna 13;2017;Marzo;67.1;-58.4685048;-34.547445
Palermo Viejo - Armenia;Comuna 14;2017;Marzo;14.7;-58.425260200000004;-34.5887745
Rivadavia;Comuna 6;2017;Marzo;10.1;-58.4506646;-34.6243051
Avellaneda;Comuna 9;2017;Marzo;10.2;-58.3669739;-34.6610756
Velez Sarfield;Comuna 10;2017;Marzo;20.3;-58.49234930000001;-34.6314852
Ibarra;Comuna 3;2017;Marzo;8.3;-58.403515799999994;-34.617202
Puerto madero;Comuna 1;2017;Marzo;3.3;-58.3620561;-34.6177194
Parque patricios;Comuna 4;2017;Marzo;3.8;-58.4005296;-34.6362534
Plaza Rosario Vera Peñaloza;Comuna 1;2017;Marzo;20.1;-58.3757713;-34.6221636
Plaza Vea;Comuna 4;2017;Marzo;1.1;-58.3777027;-34.638518
25 de Agosto;Comuna 15;2017;Marzo;31.4;-58.46258049999999;-34.5801724
Plaza Aristobulo del Valle;Comuna 11;2017;Marzo;0;-58.492932700000004;-34.6055659
Plaza Echeverria;Comuna 13;2017;Marzo;0;-58.46350820000001;-34.5675144
Plaza Roque Saez Peña;Comuna 11;2017;Marzo;0;-58.46735409999999;-34.6103114
Plaza Ciudad de Banff;Comuna 10;2017;Marzo;0;-58.52120040000001;-34.6285343
Plaza E. de los Andes;Comuna 10;2017;Marzo;0;-58.5093299;-34.6396627
Plaza Irlanda;Comuna 6;2017;Marzo;0;-58.45901240000001;-34.6140108
Plaza de los periodistas;Comuna 7;2017;Marzo;0;-58.47299399999999;-34.621383
Portal Villa 20;Comuna 8;2017;Marzo;0;-58.46145689999999;-34.6717503
Plaza Martin Fierro;Comuna 3;2017;Marzo;0;-58.4077429;-34.6259153
Plaza Benito Nazar;Comuna 15;2017;Marzo;0;-58.445436;-34.60479
Carrefour Boedo;Comuna 5;2017;Marzo;0;-58.420189199999996;-34.630990000000004
Carrefour Urquiza;Comuna 12;2017;Marzo;0;-58.494533;-34.5770799
PVMs;Comuna 1;2017;Marzo;0;-58.381559100000004;-34.6036844
Plaza Güemes;Comuna 14;2017;Abril;46.2;-58.4174406;-34.586063
Parque Centenario;Comuna 6;2017;Abril;121.5;-58.43495559999999;-34.606830200000005
Plaza Sudamerica;Comuna 4;2017;Abril;0;-58.39473950000001;-34.652745700000004
Plaza Arenales;Comuna 11;2017;Abril;138.6;-58.5122799;-34.5993652
Parque Chacabuco;Comuna 7;2017;Abril;22.3;-58.43288159999999;-34.6340618
Parque Los Andes;Comuna 15;2017;Abril;10.2;-58.450456300000006;-34.5898603
Plaza Boedo;Comuna 5;2017;Abril;88.8;-58.41283499999999;-34.622518
Plaza M. Andrea;Comuna 2;2017;Abril;24.5;-58.40720749999999;-34.5974235
Plaza 1ro de mayo;Comuna 3;2017;Abril;0;-58.3981627;-34.611239399999995
Parque Saavedra;Comuna 12;2017;Abril;25.1;-58.47981559999999;-34.550819
Plaza Colombia;Comuna 4;2017;Abril;38.1;-58.374206900000004;-34.637393700000004
Plaza Don Bosco;Comuna 10;2017;Abril;6.2;-58.50841080000001;-34.6260491
Parque Santojanni;Comuna 9;2017;Abril;26.1;-58.51330829999999;-34.6463729
Plaza San Marrin;Comuna 1;2017;Abril;0;-58.37700689999999;-34.5942846
Plaza E. Mitre;Comuna 2;2017;Abril;1.8;-58.39723710000001;-34.5881755
Plaza Almagro;Comuna 5;2017;Abril;23.5;-58.4193674;-34.605718200000005
Plaza Pueyrredon;Comuna 7;2017;Abril;0;-58.46353149999999;-34.6285889
Plaza Alem;Comuna 12;2017;Abril;32.5;-58.37072120000001;-34.6003162
Plaza Balcarce;Comuna 13;2017;Abril;32.3;-58.4685048;-34.547445
Palermo Viejo - Armenia;Comuna 14;2017;Abril;18.3;-58.425260200000004;-34.5887745
Rivadavia;Comuna 6;2017;Abril;42.2;-58.4506646;-34.6243051
Avellaneda;Comuna 9;2017;Abril;15.5;-58.3669739;-34.6610756
Velez Sarfield;Comuna 10;2017;Abril;0;-58.49234930000001;-34.6314852
Ibarra;Comuna 3;2017;Abril;8.9;-58.403515799999994;-34.617202
Puerto madero;Comuna 1;2017;Abril;4.3;-58.3620561;-34.6177194
Parque patricios;Comuna 4;2017;Abril;0;-58.4005296;-34.6362534
Plaza Rosario Vera Peñaloza;Comuna 1;2017;Abril;23.2;-58.3757713;-34.6221636
Plaza Vea;Comuna 4;2017;Abril;0;-58.3777027;-34.638518
25 de Agosto;Comuna 15;2017;Abril;15.3;-58.46258049999999;-34.5801724
Plaza Aristobulo del Valle;Comuna 11;2017;Abril;23.5;-58.492932700000004;-34.6055659
Plaza Echeverria;Comuna 13;2017;Abril;20.3;-58.46350820000001;-34.5675144
Plaza Roque Saez Peña;Comuna 11;2017;Abril;1.2;-58.46735409999999;-34.6103114
Plaza Ciudad de Banff;Comuna 10;2017;Abril;1.1;-58.52120040000001;-34.6285343
Plaza Güemes;Comuna 14;2017;Mayo;78.6;-58.4174406;-34.586063
Parque Centenario;Comuna 6;2017;Mayo;91.4;-58.43495559999999;-34.606830200000005
Plaza Sudamerica;Comuna 4;2017;Mayo;3.3;-58.39473950000001;-34.652745700000004
Plaza Arenales;Comuna 11;2017;Mayo;78.8;-58.5122799;-34.5993652
Parque Chacabuco;Comuna 7;2017;Mayo;19.8;-58.43288159999999;-34.6340618
Parque Los Andes;Comuna 15;2017;Mayo;43.8;-58.450456300000006;-34.5898603
Plaza Boedo;Comuna 5;2017;Mayo;42.5;-58.41283499999999;-34.622518
Plaza M. Andrea;Comuna 2;2017;Mayo;35.8;-58.40720749999999;-34.5974235
Plaza 1ro de mayo;Comuna 3;2017;Mayo;101.1;-58.3981627;-34.611239399999995
Parque Saavedra;Comuna 12;2017;Mayo;16.8;-58.47981559999999;-34.550819
Plaza Colombia;Comuna 4;2017;Mayo;41.8;-58.374206900000004;-34.637393700000004
Plaza Don Bosco;Comuna 10;2017;Mayo;31.2;-58.50841080000001;-34.6260491
Parque Santojanni;Comuna 9;2017;Mayo;44;-58.51330829999999;-34.6463729
Plaza San Marrin;Comuna 1;2017;Mayo;0;-58.37700689999999;-34.5942846
Plaza E. Mitre;Comuna 2;2017;Mayo;0;-58.39723710000001;-34.5881755
Plaza Almagro;Comuna 5;2017;Mayo;0;-58.4193674;-34.605718200000005
Plaza Pueyrredon;Comuna 7;2017;Mayo;15.3;-58.46353149999999;-34.6285889
Plaza Alem;Comuna 12;2017;Mayo;0;-58.37072120000001;-34.6003162
