punto,comuna,año,mes,cantidad,pesaje_aed_gr,long,lat
Polo Circo,Comuna 6,2019,Abril,12.0,29577.0,-58.39267699999999,-34.627893
Plaza Almagro,Comuna 5,2019,Abril,5.0,21908.0,-58.4193674,-34.605718200000005
Plaza de los Periodistas,Comuna 7,2019,Abril,52.0,42731.0,-58.47299399999999,-34.621383
Estación Lugano,Comuna 8,2019,Abril,42.0,55633.0,-58.4770003,-34.677304299999996
Parque Santojanni,Comuna 7,2019,Abril,10.0,54943.0,-58.43288159999999,-34.6340618
Plaza Don Bosco,Comuna 10,2019,Abril,109.0,411695.0,-58.50841080000001,-34.6260491
Plaza Echeverría,Comuna 13,2019,Abril,44.0,188632.0,-58.4635451,-34.567451
Plaza Belgrano,Comuna 13,2019,Abril,143.0,129660.0,-58.454835100000004,-34.56170609999999
Plaza Güemes,Comuna 14,2019,Abril,0.0,0.0,-58.4174406,-34.586063
Parque Los Andes,Comuna 15,2019,Abril,17.0,28247.0,-58.450456300000006,-34.5898603
Plaza Boedo,Comuna 5,2019,Abril,0.0,0.0,-58.41283499999999,-34.622518
Plaza Leonardo Pereyra,Comuna 4,2019,Abril,6.0,5784.0,-58.38813489999999,-34.6516887
Plaza Nobel,Comuna 15,2019,Abril,0.0,0.0,-58.48462249999999,-34.588083000000005
Plaza Velazco Ibarra,Comuna 3,2019,Abril,0.0,0.0,-58.403515799999994,-34.617202
Plaza Aristóbulo del Valle,Comuna 11,2019,Abril,17.0,73604.0,-58.492932999999994,-34.605565999999996
Plaza Matheu,Comuna 4,2019,Abril,22.0,31639.0,-58.36661360000001,-34.6401178
Plaza Calabria,Comuna 8,2019,Abril,22.0,27323.0,-58.469724,-34.66425
Parque Avellaneda,Comuna 9,2019,Abril,137.0,148099.0,-58.485193,-34.645856
Plaza Toscaneras de Villa Real,Comuna 10,2019,Abril,21.0,66032.0,-58.52535669999999,-34.616482299999994
Plaza Rómulo Zabala,Comuna 9,2019,Abril,0.0,0.0,-58.52058149999999,-34.6570086
Plaza Vera Peñaloza,Comuna 1,2019,Abril,80.0,62602.0,-58.3757713,-34.6221636
Plara República del Perú,Comuna 14,2019,Abril,49.0,20123.0,-58.4041672,-34.576572399999996
Plaza Leonardo N. Alem,Comuna 12,2019,Abril,13.0,32343.0,-58.50324260000001,-34.5763393
Plaza Irlanda,Comuna 6,2019,Abril,88.0,105207.0,-58.45901240000001,-34.614010799999996
Plaza Pompeya,Comuna 4,2019,Abril,62.0,57038.0,-58.41578369999999,-34.6519634
Plaza Zapiola,Comuna 12,2019,Abril,0.0,0.0,-58.475251,-34.573592
Plaza Castelli,Comuna 13,2019,Abril,71.0,55253.0,-58.4645953,-34.567494399999994
Plaza Garicoits,Comuna 13,2019,Abril,16.0,37055.0,-58.45859970000001,-34.577719099999996
Parque Las Heras,Comuna 14,2019,Abril,0.0,0.0,-58.40801620000001,-34.5841026
Plaza Benito Nazar,Comuna 15,2019,Abril,0.0,0.0,-58.445436,-34.60479
Parque Saavedra,Comuna 12,2019,Abril,107.0,267930.0,-58.47981559999999,-34.550819
Plaza Armenia,Comuna 14,2019,Abril,177.0,241282.0,-58.425260200000004,-34.5887745
Plaza de la Bandera,Comuna 10,2019,Abril,0.0,0.0,-58.4936945,-34.629014899999994
Estación Núñez,Comuna 13,2019,Abril,0.0,0.0,-58.4626914,-34.54888629999999
Plaza Petronila Rodríguez,Comuna 2,2019,Abril,0.0,0.0,-58.3913904,-34.5988073
Plaza Roque Sáenz Peña,Comuna 11,2019,Abril,21.0,107869.0,-58.46735409999999,-34.6103114
Parque Rivadavia,Comuna 6,2019,Abril,117.0,143319.0,-58.432852600000004,-34.6177783
Parque Chacabuco,Comuna 7,2019,Abril,22.0,39634.0,-58.43288159999999,-34.6340618
Plaza Angel Gris,Comuna 7,2019,Abril,176.0,205333.0,-58.45666680000001,-34.621976000000004
Plaza Ciudad de Banff,Comuna 10,2019,Abril,0.0,0.0,-58.52120040000001,-34.6285343
Plaza Sudamérica,Comuna 4,2019,Abril,0.0,0.0,-58.39473950000001,-34.652745700000004
Plaza Sargento Cabral,Comuna 3,2019,Abril,0.0,0.0,-58.403515799999994,-34.617202
Plaza el Maestro,Comuna 11,2019,Abril,0.0,0.0,-58.522521499999996,-34.612714399999994
Pza. Mons. Fermín Lafitte,Comuna 10,2019,Abril,0.0,0.0,-58.508499,-34.618556
Plaza 25 de Agosto,Comuna 15,2019,Abril,0.0,0.0,-58.46258049999999,-34.5801724
Puntos Verdes Móviles,Comuna 6,2019,Mayo,3164.0,2772395.0,-58.4355705,-34.6083805
Parque Centenario,Comuna 4,2019,Mayo,0.0,0.0,-58.43495600000001,-34.60683
Plaza Arenales,Comuna 11,2019,Mayo,519.0,857231.0,-58.5122799,-34.5993652
Plaza Libertad,Comuna 1,2019,Mayo,0.0,0.0,-58.384129200000004,-34.5981226
Plaza Emilio Mitre,Comuna 2,2019,Mayo,124.0,150419.0,-58.39723710000001,-34.5881755
Plaza Martín Fierro,Comuna 3,2019,Mayo,81.0,23877.0,-58.4077429,-34.6259153
Polo Circo,Comuna 6,2019,Mayo,100.0,130496.0,-58.39267699999999,-34.627893
Plaza Almagro,Comuna 5,2019,Mayo,10.0,40094.0,-58.4193674,-34.605718200000005
Plaza de los Periodistas,Comuna 7,2019,Mayo,30.0,65149.0,-58.47299399999999,-34.621383
Estación Lugano,Comuna 8,2019,Mayo,62.0,77187.0,-58.4770003,-34.677304299999996
Parque Santojanni,Comuna 7,2019,Mayo,39.0,183407.0,-58.43288159999999,-34.6340618
Plaza Don Bosco,Comuna 10,2019,Mayo,108.0,125365.0,-58.50841080000001,-34.6260491
Plaza Echeverría,Comuna 13,2019,Mayo,55.0,78304.0,-58.4635451,-34.567451
Plaza Belgrano,Comuna 13,2019,Mayo,123.0,74414.0,-58.454835100000004,-34.56170609999999
Plaza Güemes,Comuna 14,2019,Mayo,65.0,236882.0,-58.4174406,-34.586063
Parque Los Andes,Comuna 15,2019,Mayo,60.0,82068.0,-58.450456300000006,-34.5898603
Plaza Boedo,Comuna 5,2019,Mayo,5.0,14862.0,-58.41283499999999,-34.622518
Plaza Leonardo Pereyra,Comuna 4,2019,Mayo,0.0,0.0,-58.38813489999999,-34.6516887
Plaza Nobel,Comuna 15,2019,Mayo,6.0,14105.0,-58.48462249999999,-34.588083000000005
Plaza Velazco Ibarra,Comuna 3,2019,Mayo,0.0,0.0,-58.403515799999994,-34.617202
Plaza Aristóbulo del Valle,Comuna 11,2019,Mayo,12.0,77676.0,-58.492932999999994,-34.605565999999996
Plaza Matheu,Comuna 4,2019,Mayo,0.0,0.0,-58.36661360000001,-34.6401178
Plaza Calabria,Comuna 8,2019,Mayo,22.0,28567.0,-58.469724,-34.66425
Parque Avellaneda,Comuna 9,2019,Mayo,113.0,234641.0,-58.485193,-34.645856
Plaza Toscaneras de Villa Real,Comuna 10,2019,Mayo,14.0,85002.0,-58.52535669999999,-34.616482299999994
Plaza Rómulo Zabala,Comuna 9,2019,Mayo,0.0,0.0,-58.52058149999999,-34.6570086
Plaza Vera Peñaloza,Comuna 1,2019,Mayo,116.0,48941.0,-58.3757713,-34.6221636
Plara República del Perú,Comuna 14,2019,Mayo,11.0,9251.0,-58.4041672,-34.576572399999996
Plaza Leonardo N. Alem,Comuna 12,2019,Mayo,17.0,69315.0,-58.50324260000001,-34.5763393
Plaza Irlanda,Comuna 6,2019,Mayo,6.0,20035.0,-58.45901240000001,-34.614010799999996
Plaza Pompeya,Comuna 4,2019,Mayo,0.0,0.0,-58.41578369999999,-34.6519634
Plaza Zapiola,Comuna 12,2019,Mayo,0.0,0.0,-58.475251,-34.573592
Plaza Castelli,Comuna 13,2019,Mayo,108.0,123374.0,-58.4645953,-34.567494399999994
Plaza Garicoits,Comuna 13,2019,Mayo,0.0,0.0,-58.45859970000001,-34.577719099999996
Parque Las Heras,Comuna 14,2019,Mayo,0.0,0.0,-58.40801620000001,-34.5841026
Plaza Benito Nazar,Comuna 15,2019,Mayo,78.0,121005.0,-58.445436,-34.60479
Parque Saavedra,Comuna 12,2019,Mayo,85.0,137512.0,-58.47981559999999,-34.550819
Plaza Armenia,Comuna 14,2019,Mayo,177.0,241282.0,-58.425260200000004,-34.5887745
Plaza de la Bandera,Comuna 10,2019,Mayo,0.0,0.0,-58.4936945,-34.629014899999994
Estación Núñez,Comuna 13,2019,Mayo,0.0,0.0,-58.4626914,-34.54888629999999
Plaza Petronila Rodríguez,Comuna 2,2019,Mayo,14.0,43079.0,-58.3913904,-34.5988073
Plaza Roque Sáenz Peña,Comuna 11,2019,Mayo,21.0,107869.0,-58.46735409999999,-34.6103114
Parque Rivadavia,Comuna 6,2019,Mayo,0.0,0.0,-58.432852600000004,-34.6177783
Parque Chacabuco,Comuna 7,2019,Mayo,59.0,90512.0,-58.43288159999999,-34.6340618
Plaza Angel Gris,Comuna 7,2019,Mayo,176.0,205333.0,-58.45666680000001,-34.621976000000004
Plaza Ciudad de Banff,Comuna 10,2019,Mayo,122.0,139143.0,-58.52120040000001,-34.6285343
Plaza Sudamérica,Comuna 4,2019,Mayo,17.0,62818.0,-58.39473950000001,-34.652745700000004
Plaza Sargento Cabral,Comuna 3,2019,Mayo,0.0,0.0,-58.403515799999994,-34.617202
Plaza el Maestro,Comuna 11,2019,Mayo,32.0,111287.0,-58.522521499999996,-34.612714399999994
Pza. Mons. Fermín Lafitte,Comuna 10,2019,Mayo,0.0,0.0,-58.508499,-34.618556
Plaza 25 de Agosto,Comuna 15,2019,Mayo,0.0,0.0,-58.46258049999999,-34.5801724
Puntos Verdes Móviles,Comuna 6,2019,Junio,3229.0,2908148.0,-58.4355705,-34.6083805
Parque Centenario,Comuna 4,2019,Junio,31.0,10065.0,-58.43495600000001,-34.60683
Plaza Arenales,Comuna 11,2019,Junio,368.0,667327.0,-58.5122799,-34.5993652
Plaza Libertad,Comuna 1,2019,Junio,0.0,0.0,-58.384129200000004,-34.5981226
Plaza Emilio Mitre,Comuna 2,2019,Junio,47.0,99713.0,-58.39723710000001,-34.5881755
Plaza Martín Fierro,Comuna 3,2019,Junio,54.0,20483.0,-58.4077429,-34.6259153
Polo Circo,Comuna 6,2019,Junio,150.0,156108.0,-58.39267699999999,-34.627893
Plaza Almagro,Comuna 5,2019,Junio,45.0,18968.0,-58.4193674,-34.605718200000005
Plaza de los Periodistas,Comuna 7,2019,Junio,9.0,36425.0,-58.47299399999999,-34.621383
Estación Lugano,Comuna 8,2019,Junio,19.0,35921.0,-58.4770003,-34.677304299999996
Parque Santojanni,Comuna 7,2019,Junio,6.0,67936.0,-58.43288159999999,-34.6340618
Plaza Don Bosco,Comuna 10,2019,Junio,73.0,175269.0,-58.50841080000001,-34.6260491
Plaza Echeverría,Comuna 13,2019,Junio,28.0,48725.0,-58.4635451,-34.567451
Plaza Belgrano,Comuna 13,2019,Junio,100.0,90006.0,-58.454835100000004,-34.56170609999999
Plaza Güemes,Comuna 14,2019,Junio,81.0,204825.0,-58.4174406,-34.586063
Parque Los Andes,Comuna 15,2019,Junio,126.0,300305.0,-58.450456300000006,-34.5898603
Plaza Boedo,Comuna 5,2019,Junio,0.0,0.0,-58.41283499999999,-34.622518
Plaza Leonardo Pereyra,Comuna 4,2019,Junio,0.0,0.0,-58.38813489999999,-34.6516887
Plaza Nobel,Comuna 15,2019,Junio,8.0,113959.0,-58.48462249999999,-34.588083000000005
Plaza Velazco Ibarra,Comuna 3,2019,Junio,0.0,0.0,-58.403515799999994,-34.617202
Plaza Aristóbulo del Valle,Comuna 11,2019,Junio,42.0,133891.0,-58.492932999999994,-34.605565999999996
Plaza Matheu,Comuna 4,2019,Junio,0.0,0.0,-58.36661360000001,-34.6401178
Plaza Calabria,Comuna 8,2019,Junio,0.0,0.0,-58.469724,-34.66425
Parque Avellaneda,Comuna 9,2019,Junio,69.0,49770.0,-58.485193,-34.645856
Plaza Toscaneras de Villa Real,Comuna 10,2019,Junio,53.0,87320.0,-58.52535669999999,-34.616482299999994
Plaza Rómulo Zabala,Comuna 9,2019,Junio,0.0,0.0,-58.52058149999999,-34.6570086
Plaza Vera Peñaloza,Comuna 1,2019,Junio,118.0,83074.0,-58.3757713,-34.6221636
Plara República del Perú,Comuna 14,2019,Junio,34.0,102694.0,-58.4041672,-34.576572399999996
Plaza Leonardo N. Alem,Comuna 12,2019,Junio,7.0,56572.0,-58.50324260000001,-34.5763393
Plaza Irlanda,Comuna 6,2019,Junio,33.0,120204.0,-58.45901240000001,-34.614010799999996
Plaza Pompeya,Comuna 4,2019,Junio,0.0,0.0,-58.41578369999999,-34.6519634
Plaza Zapiola,Comuna 12,2019,Junio,0.0,0.0,-58.475251,-34.573592
Plaza Castelli,Comuna 13,2019,Junio,55.0,65481.0,-58.4645953,-34.567494399999994
Plaza Garicoits,Comuna 13,2019,Junio,0.0,0.0,-58.45859970000001,-34.577719099999996
Parque Las Heras,Comuna 14,2019,Junio,0.0,0.0,-58.40801620000001,-34.5841026
Plaza Benito Nazar,Comuna 15,2019,Junio,0.0,0.0,-58.445436,-34.60479
Parque Saavedra,Comuna 12,2019,Junio,61.0,91499.0,-58.47981559999999,-34.550819
Plaza Armenia,Comuna 14,2019,Junio,0.0,0.0,-58.425260200000004,-34.5887745
Plaza de la Bandera,Comuna 10,2019,Junio,0.0,0.0,-58.4936945,-34.629014899999994
Estación Núñez,Comuna 13,2019,Junio,41.0,96345.0,-58.4626914,-34.54888629999999
Plaza Petronila Rodríguez,Comuna 2,2019,Junio,0.0,0.0,-58.3913904,-34.5988073
Plaza Roque Sáenz Peña,Comuna 11,2019,Junio,22.0,115406.0,-58.46735409999999,-34.6103114
Parque Rivadavia,Comuna 6,2019,Junio,0.0,0.0,-58.432852600000004,-34.6177783
Parque Chacabuco,Comuna 7,2019,Junio,42.0,48488.0,-58.43288159999999,-34.6340618
Plaza Angel Gris,Comuna 7,2019,Junio,91.0,129605.0,-58.45666680000001,-34.621976000000004
Plaza Ciudad de Banff,Comuna 10,2019,Junio,2.0,14179.0,-58.52120040000001,-34.6285343
Plaza Sudamérica,Comuna 4,2019,Junio,0.0,0.0,-58.39473950000001,-34.652745700000004
Plaza Sargento Cabral,Comuna 3,2019,Junio,0.0,0.0,-58.403515799999994,-34.617202
Plaza el Maestro,Comuna 11,2019,Junio,32.0,111287.0,-58.522521499999996,-34.612714399999994
Pza. Mons. Fermín Lafitte,Comuna 10,2019,Junio,0.0,0.0,-58.508499,-34.618556
Plaza 25 de Agosto,Comuna 15,2019,Junio,0.0,0.0,-58.46258049999999,-34.5801724
