año,mes,cantidad
2018,1,64776.43000000001
2018,2,50524.42
2018,3,68461.24
2018,4,53258.03999999999
2018,5,53057.520000000004
2018,6,52190.24999999999
2018,7,45422
2018,8,71885
2018,9,67273
2018,10,73591.82
2018,11,70413.12000000001
2018,12,61255.1
