año,mes,capacidad_procesamiento
2018,1,220
2018,2,220
2018,3,220
2018,4,220
2018,5,220
2018,6,220
2018,7,220
2018,8,220
2018,9,220
2018,10,220
2018,11,220
2018,12,220
